ISF Importer,Logged,Status,Action Reason,SCAC Master,Master Bill,SCAC House,House Bill,ISF No.,Broker File No.,CBP Trans. No.,Loading Date,Booking No.,P.O. No.,Carrier,Vessel Name,Voyage,IE/TE,Loading,Unloading,Delivery,Sailing Date,Arrival Date,Container,Seller,Buyer,Manufacturer,Ship To,Create Subscriber,Modify Subscriber,Owner Subscriber,Create User,Modify User
PVH,6-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M413377,,,2699246,,316-13368025168,9-May-14,,,CLAM,,,N,,,,,12-May-14,CMCU4520290,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,6-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M413378,,,2699247,,316-79254834190,9-May-14,,,CLAM,,,N,,,,,12-May-14,CMCU4557601,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,9-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M414586,,,2704903,,316-98066837989,14-May-14,,,CLAM,,,N,,,,,,CMCU4575246,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,9-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M414587,,,2704904,,316-27092038095,14-May-14,,,CLAM,,,N,,,,,,CMCU4576915,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,13-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M415904,,,2709868,,316-25626220485,16-May-14,,,CLAM,,,N,,,,,19-May-14,CMCU4507072,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,13-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M415905,,,2709869,,316-93567055145,16-May-14,,,CLAM,,,N,,,,,19-May-14,CMCU4547584,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,15-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M417039,,,2714075,,316-18523513900,19-May-14,,,CLAM,,,N,,,,,,CMCU4532347,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,15-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M417038,,,2714076,,316-57452071637,19-May-14,,,CLAM,,,N,,,,,,CMCU4530302,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,16-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M417538,,,2716770,,316-61781799009,21-May-14,,,CLAM,,N4060,N,,,,,24-May-14,CMCU4517506,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,MARK
PVH,16-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M417539,,,2716771,,316-74422901444,21-May-14,,,CLAM,,,N,,,,,24-May-14,CMCU4550253,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,MARK
PVH,22-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M419660,,,2725223,,316-59047807314,26-May-14,,,CLAM,,,N,,,,,29-May-14,CMCU4541781,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,22-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M419659,,,2725224,,316-50061721879,26-May-14,,,CLAM,,,N,,,,,29-May-14,CMCU4523670,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,24-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M420285,,,2728063,,316-79454296777,28-May-14,,,CLAM,,,N,,,,,,CMCU4517255,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DANA
PVH,24-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M420286,,,2728064,,316-94404885039,28-May-14,,,CLAM,,,N,,,,,,CMCU4532521,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DANA
PVH,27-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M421108,,,2731753,,316-65971479614,30-May-14,,,CLAM,,,N,,,,,2-Jun-14,CMCU4504664,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,27-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M421109,,,2731759,,316-75410543163,30-May-14,,,CLAM,,,N,,,,,2-Jun-14,CMCU4525862,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,27-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M421110,,,2731760,,316-52873955745,30-May-14,,,CLAM,,,N,,,,,2-Jun-14,CMCU4553592,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,27-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M421111,,,2731761,,316-34534005888,30-May-14,,,CLAM,,,N,,,,,2-Jun-14,CMCU4537159,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,29-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M422267,,,2735385,,316-18848324600,2-Jun-14,,,CLAM,,,N,,,,,,CMCU4968958,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,29-May-14,ACCNOMATCH,Compliant Transaction,CLAM,COSN4M422268,,,2735386,,316-98670157272,6-Jun-14,,,CLAM,,,N,,,,,9-Jun-14,INKU2510279,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,30-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M422811,,,2738721,,316-42162239239,4-Jun-14,,,CLAM,,,N,,,,,7-Jun-14,CMCU4504350,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,30-May-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M422812,,,2738722,,316-57224362305,4-Jun-14,,,CLAM,,,N,,,,,7-Jun-14,CMCU4570809,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,2-Jun-14,ACCMATCH,Compliant Transaction,CLAM,COSN4M419430,,,2741223,2232499,316-56807123345,2-Jun-14,,,CLAM,,,N,,,,,,CMCU2085445,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,HANDS_FREE
PVH,3-Jun-14,DEL_ACCEPT,Compliant Transaction,MAEU,603343410T,,,2741632,,316-25048604336,,,,MAEU,,,N,,,,,,MRKU0038289,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,MARK
PVH,3-Jun-14,DELETED,Compliant Transaction,COSU,HB23752500T,COSU,TSZX1318447T,2741669,,,,,,COSU,,,N,,,,,,KKFU6700083,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
PVH,3-Jun-14,ACCNOMATCH,Compliant Transaction,CLAM,COSN4M423834,,,2742597,,316-21585966457,6-Jun-14,,,CLAM,,,N,,,,,9-Jun-14,CMCU4533744,,,,,VAND0323,VAND0323,VAND0323,HANDS_FREE,DBRIGHT
